Higher Taxonomy;Genus;Species;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18
Marginocephalia;Bagaceratops;rozhdestvenkyi;0.273428019;0.831128523;0.099327938;0.359453819;0.217401488;0.274276649;0.622779117;0.00595316;0;-0.031063735;1.110220441;?;1.979101059;?;0.26059201;?;?;0.032931065
Marginocephalia;Gobiceratops;minutus;0.376220423;0.97120818;0.060491296;0.391124358;0.214868739;0.326643484;0.607451565;-0.129491638;0;-0.052829571;?;?;?;?;?;?;?;0.065971187
Marginocephalia;Cerasinops;hodgskissi;0.280111682;0.86811553;0.158182681;0.525061228;0.276803984;0.263913815;0.630873648;-0.082902839;0;0;1.715399934;?;0;?;0.148641847;?;?;0.016419938
Marginocephalia;Gryphoceratops;morrisoni;0.283469014;0.696860316;0.100000869;0.458428315;0.284080883;0.322611524;0.588923411;0.022909247;0;-0.002424376;?;?;?;?;?;?;?;0.037049055
Marginocephalia;Leptoceratops;gracillis;0.346228112;1.07340078;0.082191849;0.405990066;0.215780866;0.284685964;0.643337767;-0.071371704;0;-0.055471075;1.110088242;?;0;?;0.15617262;?;?;0.16348079
Marginocephalia;Montanoceratops;cerorhynchus;0.213787707;0.855274672;0.196405189;0.364376859;0.212526178;0.204344417;0.660421736;0;0;-0.001457284;1.208862446;?;?;?;0.145101634;?;?;0.038602325
Marginocephalia;Prenoceratops;pieganensis;0.288369991;0.864078032;0.162076201;0.410846661;0.21791536;0.261769224;0.593884522;0.036349508;0;-0.041974768;0.943526322;?;?;?;0.103990254;?;?;0.082049336
Marginocephalia;Protoceratops;andrewsi;0.287763375;0.804404479;0.072042662;0.418729273;0.195809482;0.270192063;0.626960387;-0.019821119;0;-0.017490347;1.597103577;?;?;?;?;?;?;0.173842745
Marginocephalia;Protoceratops;hellenikorhinus;0.267947044;0.685773771;0.042848764;0.419229793;0.256329386;0.337757708;0.608297394;0.028139429;0;-0.000633918;?;?;0;?;0.293732816;?;?;0.145076051
Marginocephalia;Udanoceratops;tschizhovi;0.266425847;0.654844169;0.138724576;0.631909112;0.288372504;0.228745354;0.614491399;0.138918516;0;-0.053318126;1.249901903;?;?;?;0.125790417;?;?;0.174466276
Marginocephalia;Unescoceratops;koppelhusae;0.231279402;0.675497163;0.116677213;0.3801548;0.247768684;0.294631854;0.638371326;0.093576779;0;-0.026251862;0.947705064;?;?;?;0.226628333;?;?;-0.006516913
Marginocephalia;Zhuchengceratops;inexpectus;0.317830565;0.770176354;0.090651854;0.408263319;0.270606301;0.344466927;0.569642779;0;0;0.002523693;1.548210255;?;?;?;0.176778153;?;?;0.163264939
Marginocephalia;Zuniceratops;christopheri;0.35481543;1.067469583;0.088228646;0.277778181;0.130182862;0.218140971;0.613232346;-0.135297944;0;-0.001155445;1.481467241;?;0.504152568;?;0.267354076;?;?;0.023140524
Marginocephalia;Avaceratops;lammersi;0.36057779;1.041116645;0.044749652;0.306684878;0.176618578;0.297828943;0.642242602;-0.083132358;0;0.013679708;1.061123941;?;?;?;0.175108299;?;?;-0.027036098
Marginocephalia;Centrosaurus;apertus;0.2913303;1.103683559;0.053682231;0.289765633;0.160546572;0.237822554;0.698137147;-0.060900037;0;-0.010985382;2.173695175;?;0;?;0.284217733;?;?;0.020073942
Marginocephalia;Einiosaurus;procurvicornis;0.315231395;1.156364107;0.071517068;0.304983145;0.172629554;0.202613509;0.697552125;-0.087093096;0;0.017506807;1.872233471;?;0;?;0.22847211;?;?;0.05713929
Marginocephalia;Styracosaurus;albertensis;0.334259503;0.951097997;0.050905182;0.270458775;0.146428032;0.273840974;0.645008778;-0.13087398;0;0.008072703;1.355425518;?;0;?;0.276029118;?;?;0.076892462
Marginocephalia;Agujaceratops;mariscalensis;0.327253093;1.581219387;0.069458716;0.376288917;0.173840305;0.147941987;0.768528867;-0.120806895;0;0;?;?;?;?;?;0.095359982;?;-0.032859863
Marginocephalia;Anchiceratops;ornatus;0.387113009;1.224511008;0.052823492;0.343182144;0.172158705;0.250253635;0.670855399;-0.111868769;0;0;?;?;?;?;?;0.100677831;?;0.015430541
Marginocephalia;Chasmosaurus;belli;0.320286347;1.10142485;0.053798883;0.336068431;0.171323451;0.238931969;0.68209769;-0.034165801;0;0;1.906810879;?;?;?;?;0.124395304;?;0.027662652
Marginocephalia;Chasmosaurus;russelli;0.221678702;0.976228987;0.088439414;0.271286404;0.155099519;0.161500253;0.717960158;-0.037344232;0;-0.02311722;?;?;0;?;0.214259923;0.115049964;?;-0.05738908
Marginocephalia;Coahuilaceratops;magnacuerna;0.297143093;1.205764792;0.054667525;0.300285279;0.151008752;0.182491913;0.732134988;-0.059691481;0;0;1.942972609;?;0;?;0.200236007;0.116462257;?;0.077206422
Marginocephalia;Kosmoceratops;richardsoni;0.368522264;1.292509473;0.04050204;0.31333984;0.15764096;0.23789186;0.726048019;-0.067273082;0;0;1.898674855;?;0;?;0.197392517;0.110057935;?;-0.0157439
Marginocephalia;Tatankaceratops;sacrisonorum;0.323899801;1.245607214;0.064659043;0.346156184;0.154686038;0.221854469;0.70149207;-0.049486404;0;-0.020574165;?;?;?;?;?;0.109408343;?;0.037801808
Marginocephalia;Titanoceratops;ouranos;0.27967272;0.95515685;0.108729481;0.2543302;0.128519552;0.225176419;0.635752198;-0.031117086;0;-0.024203619;?;?;?;?;?;0.116104324;?;-0.01607166
Marginocephalia;Triceratops;horridus;0.324659764;1.130889255;0.134497983;0.306936948;0.154029017;0.252065254;0.617352051;-0.021938731;0;0;1.817952296;?;0;?;0.20026202;0.11046428;?;0.060060886
Marginocephalia;Triceratops;prorosus;0.316800092;1.200030146;0.060732582;0.3531269;0.172061883;0.187767782;0.699657042;-0.05223092;0;0;2.641436778;?;0;?;0.341952356;0.139483976;?;0.103134307
Marginocephalia;Utahceratops;gettyi;0.310455356;1.117745156;0.039820882;0.305894642;0.160162164;0.225386374;0.707527649;-0.05370578;0;0;1.862249346;?;0;?;0.169999403;0.113400053;?;0.084556999
Ornithopoda;Changchunsaurus;parvus;0.31257378;0.718826599;0.098495181;0.159100645;0.090212635;0.358916762;0.270715577;-0.12223;0;0.040721212;1.208060453;?;5.264483627;?;0.232004644;?;?;-0.006937407
Ornithopoda;Gasparinisaura;cincosaltensis;0.368841306;0.923856502;0.107132627;0.228819731;0.113636849;0.303879206;0.421258759;-0.165104951;0.009348207;-0.038352273;1.318113772;?;5.895209581;?;0.462812089;?;?;-0.027220793
Ornithopoda;Hypsilophodon;foxii;0.357202525;0.993237482;0.088917321;0.30195237;0.135366419;0.284409192;0.370678524;-0.143335631;0.00330946;-0.01477325;0.631775701;?;3.096128171;?;0.156089194;?;?;-0.01357242
Ornithopoda;Orodromeus;mackelai;0.290458253;0.742372145;0.080477512;0.207118013;0.116177725;0.332347615;0.367651082;-0.084116045;0;-0.041150323;1.308230231;?;0;?;0.31745203;?;?;-0.003803916
Ornithopoda;Parksosaurus;warreni;0.333815723;0.888681102;0.069036364;0.253736514;0.127847479;0.324086905;0.369231911;-0.197179056;0;-0.018092982;1.480384515;?;5.999740192;?;0.209024211;?;?;-0.014530338
Ornithopoda;Camptosaurus;dispar;0.330595312;0.878953412;0.070842476;0.233314125;0.123429085;0.323107858;0.416829122;-0.14462386;0.001330776;0.022722412;0.841164392;?;0;?;0.19803219;0.10664002;?;0.021693375
Ornithopoda;Dakotadon;lakotaensis;0.297049127;1.017077854;0.093488376;0.30713665;0.141255946;0.2361822;0.43775033;-0.071823463;0;0.018966378;0.783766304;?;0.429880349;?;0.193465131;0.106638676;?;0.035686179
Ornithopoda;Dryosaurus;altus;0.351230368;0.882520215;0.156413596;0.238096028;0.116662934;0.384488126;0.37498308;-0.07751425;0;0.041141362;?;?;0;?;0.212281758;?;?;0.05976878
Ornithopoda;Dryosaurus;altus;0.386787618;0.832634598;0.136326363;0.314012423;0.15473983;0.293378692;0.335103441;-0.081568758;0;-0.011009689;0.667381703;?;?;?;?;?;?;0.011715871
Ornithopoda;Dysalotosaurus;lettowvorbecki;0.363526422;0.879435428;0.097671986;0.241356482;0.120657633;0.354503258;0.36151031;-0.061062513;0;-0.014817781;1.4826317;?;0.462847941;?;0.416209235;?;?;-0.048573299
Ornithopoda;Dysalotosaurus;lettowvorbecki;0.356416351;0.942315198;0.101061396;0.295692291;0.132111462;0.299849793;0.419961375;-0.137117107;0;-0.056077585;0.882216015;?;0;?;0.429948951;?;?;-0.016093557
Ornithopoda;Fukuisaurus;tetoriensius;0.331617807;1.131374681;0.123479451;0.316737686;0.161841494;0.225614947;0.479139529;-0.114624041;0;0.021304499;0.948070712;?;0;?;0.136579572;0.106638995;?;0.04670577
Ornithopoda;Hippodraco;scutodens;0.332081924;0.862570132;0.048357955;0.205747174;0.115948683;0.285108374;0.395342529;-0.11808503;0;-0.027052948;1.150925436;?;0;?;0.287290776;0.106639563;?;0.010139969
Ornithopoda;Iguanodon;bernissartensis;0.319452042;1.27423192;0.081111662;0.333636019;0.187995506;0.194864798;0.503186127;-0.124327871;0;0.026224871;1.209703789;?;0;?;0.212864794;0.105799051;?;0.131559055
